,red,blue,green,nir08,swir16,emad,smad,bcmad,ndvi,mndwi,evi,ndbi,bs_pc_50,pv_pc_50,npv_pc_50,bs_med_jan_apr,pv_med_jan_apr,npv_med_jan_apr,bs_med_may_aug,pv_med_may_aug,npv_med_may_aug,bs_med_sep_dec,pv_med_sep_dec,npv_med_sep_dec,dem,x,y,class_id,lulc
21,787.0,468.0,753.0,2508.0,2307.0,1139.8944,0.008387059,0.084909886,0.5223065,-0.5078432,0.3135933,-0.04174457,11.0,54.0,41.0,11.0,57.0,32.0,9.0,50.5,42.0,20.0,36.0,43.0,31.510603,3080941.567984901,-1974921.240383495,2,cropland
22,526.0,406.0,688.0,3213.0,1845.0,1084.5504,0.0037671924,0.07605452,0.71864134,-0.45677057,0.5041654,-0.27046263,6.0,73.0,21.0,9.0,73.0,14.5,5.0,74.0,20.0,21.5,53.0,29.5,10.401973,3082357.774546773,-1974916.1337924518,2,cropland
23,320.0,265.0,541.0,4799.0,1904.0,1188.7313,0.002156198,0.058232035,0.87497556,-0.5574642,0.7601059,-0.43189615,4.0,79.0,16.0,8.0,80.0,15.0,5.0,74.5,19.0,5.0,70.0,16.0,78.787796,3083773.869789154,-1974910.9111438214,2,cropland
24,531.0,384.0,606.0,2926.0,2040.0,976.9891,0.0051490664,0.06965958,0.69279724,-0.5419501,0.4525015,-0.17841323,8.0,73.0,24.0,22.0,70.0,18.0,8.5,54.5,28.0,9.0,56.0,25.0,62.21175,3085189.9650315344,-1974905.6884965056,2,cropland
25,525.0,403.0,685.0,3326.0,2083.0,2455.555,0.008349001,0.13853028,0.7273435,-0.5050578,0.5204965,-0.22980219,7.0,59.0,32.0,11.0,78.0,7.5,11.0,48.5,39.0,19.0,49.0,24.0,13.846074,3086606.060273915,-1974900.2337329367,2,cropland
26,530.0,355.0,645.0,2856.0,2088.0,1745.5354,0.010375857,0.1184512,0.6869462,-0.5279913,0.4348151,-0.1553398,4.0,74.0,21.0,22.0,79.0,12.0,5.0,57.0,30.5,10.0,61.0,15.0,73.02443,3089438.362078168,-1974889.2081513773,2,cropland
27,530.0,483.0,905.0,4820.0,2317.0,1822.6254,0.004159689,0.0787351,0.8018692,-0.43823713,0.74595726,-0.35070756,5.0,80.0,16.0,8.5,74.0,32.0,4.0,71.0,20.0,9.5,69.0,14.0,129.87553,3090854.4573205486,-1974883.5212747585,1,forest
28,249.0,233.0,427.0,3165.0,1532.0,785.9288,0.001080513,0.057267547,0.8541301,-0.5640633,0.564613,-0.34766874,2.0,85.0,13.0,18.5,57.0,25.0,10.0,80.0,19.0,32.0,62.0,9.0,164.21132,3095102.7430476933,-1974865.9964198822,1,forest
29,190.0,200.0,416.0,3185.0,1147.0,318.51242,0.0004799962,0.025476469,0.8874074,-0.46769035,0.5838207,-0.4704525,8.0,91.0,7.0,13.5,61.0,39.0,11.0,83.0,11.0,13.0,49.5,63.0,783.8418,3102183.1079401113,-1974834.7766819848,1,forest
30,459.0,359.0,701.0,3118.0,1732.0,1059.989,0.0018231869,0.07143515,0.7433604,-0.42375666,0.50438184,-0.2857732,4.0,77.0,18.0,48.0,54.0,45.0,15.0,66.0,18.0,19.5,46.0,45.0,794.77216,3103599.091862998,-1974828.277411603,3,grassland
