,red,blue,green,nir08,swir16,emad,smad,bcmad,ndvi,mndwi,evi,ndbi,bs_pc_50,pv_pc_50,npv_pc_50,bs_med_jan_apr,pv_med_jan_apr,npv_med_jan_apr,bs_med_may_aug,pv_med_may_aug,npv_med_may_aug,bs_med_sep_dec,pv_med_sep_dec,npv_med_sep_dec,dem,x,y,class_id,lulc
187,367.0,387.0,655.0,4277.0,1196.0,565.7641,0.0003272295,0.03412932,0.84194654,-0.29227445,0.7199941,-0.5629454,10.0,99.0,76.0,23.5,80.0,19.0,15.0,97.5,8.5,28.0,99.0,49.5,8.539586,2361555.0508052413,793690.9073886583,1,forest
188,380.0,399.0,553.0,2688.0,1593.0,711.9924,0.0021787286,0.04913851,0.7522816,-0.48462257,0.48181704,-0.25578135,7.0,77.0,18.0,15.5,46.0,39.5,9.0,69.5,21.0,8.5,78.0,15.5,3.7138088,2372291.2972319718,784069.0279017346,1,forest
189,572.0,534.0,748.0,2402.0,1159.0,1262.5093,0.0036275983,0.12461482,0.6153329,-0.21552178,0.38676134,-0.34905925,6.0,82.0,13.0,22.0,49.0,28.0,9.0,61.0,21.5,12.0,75.0,16.0,8.929581,2372678.2560357805,784149.0241929059,1,forest
190,428.0,437.0,651.0,3319.0,1453.0,1081.5603,0.0026085377,0.06194008,0.77155054,-0.3811787,0.57317895,-0.39103103,6.0,76.0,15.0,22.0,54.0,25.5,24.0,65.0,10.5,15.0,73.0,15.0,3.915025,2370731.3695541327,783598.3520490292,1,forest
191,413.0,440.0,607.0,2927.0,1185.0,1041.5201,0.0023667514,0.07473298,0.7526946,-0.32254466,0.51920694,-0.42363814,12.0,83.0,14.0,23.5,35.0,44.5,25.0,60.0,20.0,26.0,70.0,16.0,6.452257,2371343.4342005365,783796.482398093,1,forest
196,3489.0,3268.0,3364.0,5148.0,4607.0,2106.5996,0.003920853,0.07545745,0.1920806,-0.15594028,0.35840824,-0.055458747,39.0,54.0,31.0,45.0,32.0,35.0,24.5,63.0,12.0,33.0,59.0,25.5,4.262881,2378319.2852111747,789609.113442499,4,buildup
197,1430.0,1160.0,1525.0,3752.0,3370.0,812.843,0.0010628104,0.036467858,0.4480895,-0.37691522,0.42583627,-0.053636603,47.0,43.0,12.0,37.0,39.0,29.0,50.0,41.5,12.0,36.0,51.0,21.0,2.5246487,2378189.9840263976,789672.0031238092,4,buildup
198,2299.0,2092.0,2315.0,3797.0,3969.0,852.4524,0.0010344982,0.033523194,0.24573492,-0.26320815,0.31467944,0.022147816,51.0,33.0,16.0,45.0,30.0,22.0,59.0,30.5,19.0,50.0,36.0,13.0,2.4657974,2378202.5619626576,789571.3796337125,4,buildup
199,2312.0,1746.0,2155.0,4597.0,4397.0,1245.4846,0.0028293133,0.040374175,0.33072805,-0.34218562,0.37156886,-0.022237025,39.0,37.0,26.0,36.5,28.0,37.0,39.0,37.5,21.0,37.5,40.0,23.5,2.6038601,2378263.4391741646,789539.1801168815,4,buildup
200,2313.0,2015.0,2281.0,3325.0,3727.0,890.06384,0.002090007,0.037327316,0.1794963,-0.24067909,0.20925523,0.057005096,37.0,14.0,62.0,40.0,17.0,48.5,41.0,14.0,43.0,47.5,13.5,38.5,4.1230307,2377994.774455608,789683.0717077198,4,buildup
201,2613.0,2465.0,2678.0,3682.0,3649.0,639.5608,0.0010397136,0.02585274,0.16981731,-0.15346925,0.24580361,-0.0045014475,53.0,25.0,20.0,43.0,27.0,32.0,53.0,25.5,18.5,44.0,36.0,23.5,1.9808606,2378046.595553007,789760.048677644,4,buildup
202,1563.0,1384.0,1600.0,3083.0,3045.0,949.60486,0.0017130077,0.057179485,0.32716316,-0.31108722,0.31454352,-0.006201003,47.0,42.0,23.0,45.0,42.0,17.0,54.0,37.0,15.0,45.0,51.0,26.0,3.93666,2378019.930328131,789612.1321472016,4,buildup
203,2785.0,2644.0,2839.0,3722.0,3703.0,1064.9899,0.0011763275,0.037774276,0.14399882,-0.13206972,0.22094893,-0.0025589457,11.0,19.0,80.0,26.0,20.0,64.0,30.0,17.5,68.0,23.0,26.0,73.0,2.5552685,2378103.4478249145,789580.9388652719,4,buildup
204,3776.0,3421.0,3557.0,3922.0,4470.0,1375.2246,0.002931118,0.04547999,0.018965937,-0.11374114,0.03342332,0.065300286,27.0,8.0,73.0,28.5,12.0,65.0,40.0,13.5,56.5,19.0,8.0,87.0,1.9480231,2378077.7888349383,789691.1215869274,4,buildup
234,1232.0,896.0,1321.0,2021.0,1504.0,1471.2336,0.011509687,0.12119755,0.24254534,-0.06477875,0.1554006,-0.14666666,30.0,34.0,50.0,52.0,29.0,73.0,48.0,20.0,48.0,52.0,37.0,39.5,0.0,2379138.704880327,785335.1630974909,5,baresoil
240,597.0,850.0,971.0,2001.0,1559.0,1024.4221,0.0066061914,0.086463645,0.5404157,-0.23241109,0.38119027,-0.12415731,14.0,70.0,22.0,35.0,41.0,73.0,5.5,63.0,33.0,18.5,62.5,28.5,0.0,2376944.988648054,785127.8341696509,6,water
241,1608.0,1344.0,1592.0,2913.0,2454.0,793.9667,0.0020357966,0.045728635,0.288653,-0.21304993,0.26139736,-0.085522644,20.0,36.0,41.0,34.0,32.5,47.0,16.0,32.5,52.5,20.0,37.5,52.0,0.0,2377022.9032690935,785154.439162202,6,water
242,399.0,714.0,757.0,609.0,545.0,591.3975,0.0182634,0.09170066,0.20833331,0.16282643,0.06864539,-0.055459276,12.0,49.0,38.0,53.0,35.0,75.0,14.0,39.0,38.5,37.5,50.0,39.5,0.0,2376770.7892920645,785086.026324214,6,water
243,1355.0,1187.0,1439.0,3100.0,2459.0,815.4009,0.001537323,0.04275159,0.39169472,-0.26167265,0.35388362,-0.11530851,40.0,47.0,9.0,51.5,31.0,17.0,46.5,41.5,8.5,42.0,45.0,12.5,2.6710742,2376100.059311161,785082.565514734,3,grassland
244,1774.0,1575.0,1811.0,3055.0,2754.0,984.1684,0.0021329522,0.052796636,0.26527232,-0.20657179,0.26942334,-0.051816124,39.0,35.0,24.0,54.5,31.0,22.5,45.0,34.5,25.0,41.5,35.0,29.5,3.235629,2376119.290547486,785046.322030888,3,grassland
245,956.0,856.0,1143.0,1672.0,911.0,1535.1177,0.008054614,0.15844207,0.2724505,0.11295033,0.162905,-0.29461864,9.0,58.0,34.0,42.0,48.0,32.0,35.0,57.0,40.0,14.0,72.0,25.0,6.013456,2376262.7851569992,785173.5440558173,3,grassland
