,red,blue,green,nir08,swir16,emad,smad,bcmad,ndvi,mndwi,evi,ndbi,bs_pc_50,pv_pc_50,npv_pc_50,bs_med_jan_apr,pv_med_jan_apr,npv_med_jan_apr,bs_med_may_aug,pv_med_may_aug,npv_med_may_aug,bs_med_sep_dec,pv_med_sep_dec,npv_med_sep_dec,dem,x,y,class_id,lulc
17,1009.0,968.0,1162.0,2359.0,1716.0,1598.3069,0.004164338,0.10895029,0.4008313,-0.19249478,0.30260915,-0.1577914,41.0,39.0,20.0,41.0,32.0,29.0,47.0,37.0,25.0,34.0,44.0,25.5,1.6792833,-1729562.0165550942,814066.8286805497,4,buildup
18,3480.0,3542.0,3454.0,3598.0,3722.0,1249.9946,0.0016323328,0.045720536,0.016671404,-0.03734672,0.0372805,0.016939893,20.0,16.0,85.0,20.0,18.0,75.0,50.0,25.0,44.5,37.0,31.0,78.5,3.6960166,-1730447.4854859111,813429.1601177553,4,buildup
19,1557.0,1847.0,1627.0,3265.0,3485.0,761.031,0.0018381774,0.038860336,0.35420987,-0.36345854,0.48774913,0.032592613,33.0,43.0,24.0,39.0,35.0,49.0,34.0,42.5,31.0,34.5,41.0,24.0,6.0203223,-1730709.5525237336,813256.288407979,4,buildup
20,2143.0,2006.0,2187.0,3531.0,3776.0,2453.904,0.007429838,0.103053026,0.2446246,-0.2664766,0.30588856,0.03352951,31.0,49.0,25.0,30.0,46.0,35.5,34.0,45.0,24.5,22.0,62.0,33.0,74.35145,-1711622.0718882272,831742.724957848,4,buildup
21,961.0,796.0,1099.0,3210.0,1651.0,896.9077,0.0034771562,0.06013161,0.53919923,-0.20072727,0.43230048,-0.32071593,37.0,49.0,16.0,49.0,35.0,17.0,37.0,44.0,25.0,37.0,53.0,15.5,19.538235,-1710290.559564754,831585.1718305666,4,buildup
22,280.0,325.0,583.0,4620.0,1805.0,576.16705,0.00056934357,0.029819548,0.8857143,-0.51172525,0.7826871,-0.4381323,7.0,86.0,10.0,20.5,82.0,12.0,13.0,78.0,10.5,8.0,81.0,25.0,8.450698,-1720426.994930668,812757.5622463359,4,buildup
23,1762.0,1474.0,1811.0,3957.0,2941.0,679.02966,0.0011308491,0.031057164,0.38380837,-0.2377946,0.40726593,-0.1472891,25.0,62.0,10.0,29.0,58.0,12.0,29.0,53.0,34.0,34.0,63.0,11.0,14.175033,-1728124.3538455807,813120.801957574,4,buildup
24,1533.0,950.0,1440.0,2890.0,2270.0,744.53723,0.0015580058,0.05014441,0.3068053,-0.22371969,0.2267259,-0.120155044,13.0,49.0,37.0,18.0,46.0,41.0,28.0,45.5,35.0,22.0,50.0,42.0,17.167662,-1728007.3501781912,813347.7618593862,4,buildup
25,2082.0,1435.0,1946.0,2381.0,2229.0,2077.4604,0.008559585,0.099081576,0.06699533,-0.067784436,0.052974757,-0.032971807,24.0,20.0,81.0,17.0,18.0,76.0,45.0,27.0,62.0,36.0,31.0,70.5,2.655528,-1728497.6008388433,813337.1562330774,4,buildup
26,1476.0,1266.0,1371.0,2304.0,2881.0,604.4501,0.00093925,0.04156496,0.21904762,-0.35512704,0.17745394,0.111282565,17.0,24.0,57.0,27.5,24.0,62.5,16.0,32.5,55.0,19.0,29.0,62.0,14.613631,-1728664.3707720037,814006.3757535327,4,buildup
27,2708.0,2640.0,2798.0,2403.0,2679.0,953.1212,0.0030127764,0.047373317,-0.0596752,0.021727238,-0.086148456,0.05430931,60.0,24.0,25.0,65.0,27.0,54.0,56.5,33.0,21.0,45.0,33.0,47.0,20.106358,-1728435.1282924525,814008.4969076026,4,buildup
28,3852.0,3918.0,4084.0,3489.0,3651.0,1481.4521,0.0012426972,0.05834359,-0.04944831,0.055979323,-0.1257622,0.022689084,30.0,16.0,43.0,28.0,20.0,63.0,44.0,28.5,40.0,47.0,28.0,64.0,19.51897,-1728322.3600519365,814080.6162006792,4,buildup
29,1305.0,1192.0,1293.0,1952.0,2189.0,1029.4758,0.0079910755,0.075212404,0.19864905,-0.25732338,0.14918834,0.05723255,49.0,16.0,34.0,34.0,21.0,58.5,51.0,28.0,35.0,41.0,34.0,38.0,22.40383,-1727851.698240575,814076.3738863794,4,buildup
30,1016.0,887.0,1195.0,3235.0,2521.0,1113.2595,0.00296551,0.055542093,0.5219949,-0.3568353,0.43755177,-0.1240445,16.0,33.0,48.0,26.0,33.0,51.0,32.0,41.5,33.0,28.0,42.0,42.5,2.7991376,-1729198.1669151995,813710.3430902511,4,buildup
31,2394.0,2315.0,2422.0,3164.0,3260.0,750.98914,0.0021347106,0.030838987,0.13853903,-0.14748329,0.18936598,0.014943981,18.0,15.0,67.0,27.0,19.0,66.0,22.0,28.0,56.0,32.0,20.0,59.0,2.288391,-1729142.7092945708,813736.1945054063,4,buildup
32,2034.0,1781.0,1907.0,2287.0,2338.0,734.53217,0.0019117296,0.0410635,0.058551252,-0.101531215,0.056810517,0.011027021,42.0,22.0,37.0,45.0,28.0,42.0,39.5,27.5,41.0,42.0,23.0,41.0,5.861681,-1729117.4290904196,813682.768262464,4,buildup
33,538.0,768.0,888.0,2063.0,1892.0,1210.9623,0.008933485,0.09525267,0.58631295,-0.3611511,0.40001053,-0.043236427,17.0,41.0,41.0,20.0,34.0,54.0,38.5,41.0,35.0,15.0,40.0,55.0,2.9557745,-1729213.9174088887,813713.922516151,4,buildup
34,1028.0,850.0,1111.0,2745.0,2241.0,890.87616,0.0019301176,0.06689376,0.45507556,-0.33711213,0.34235927,-0.10108307,39.0,48.0,12.0,38.0,47.0,16.0,47.0,44.5,35.0,43.0,48.0,18.0,3.3062358,-1729043.706191393,813721.8767968648,4,buildup
35,1774.0,1598.0,1688.0,2143.0,2063.0,592.8055,0.0025018156,0.03831745,0.09420478,-0.09997336,0.08540088,-0.01902045,35.0,28.0,37.0,40.0,27.0,54.5,35.0,31.0,47.0,39.0,34.0,42.0,2.319482,-1729078.251391835,813751.0425038718,4,buildup
36,1548.0,1339.0,1532.0,2662.0,2277.0,751.06433,0.0030002296,0.045934305,0.2646081,-0.19558938,0.23388624,-0.07795102,31.0,36.0,32.0,38.0,31.0,39.0,29.0,40.5,36.0,29.0,42.0,33.5,6.0056725,-1728858.0091943943,813870.3569407468,4,buildup
