,red,blue,green,nir08,swir16,emad,smad,bcmad,ndvi,mndwi,evi,ndbi,bs_pc_50,pv_pc_50,npv_pc_50,bs_med_jan_apr,pv_med_jan_apr,npv_med_jan_apr,bs_med_may_aug,pv_med_may_aug,npv_med_may_aug,bs_med_sep_dec,pv_med_sep_dec,npv_med_sep_dec,dem,x,y,class_id,lulc
20,298.0,340.0,566.0,4880.0,1764.0,1084.2612,0.0008161664,0.055552125,0.8848976,-0.5141631,0.81137556,-0.4689946,15.0,82.0,72.0,11.0,31.5,70.5,15.0,58.0,27.0,36.5,35.5,69.0,184.64934,5586337.646643815,-2404510.846294628,1,forest
21,397.0,453.0,761.0,5711.0,2033.0,1452.9337,0.0009355545,0.056389585,0.87000644,-0.45526132,0.90401816,-0.47494835,14.0,81.0,70.0,12.5,34.0,66.5,17.0,60.0,29.5,46.0,38.5,58.0,202.20775,5586480.980154339,-2404416.23195567,1,forest
22,326.0,358.0,572.0,4662.0,1709.0,1959.7303,0.00095170736,0.08924304,0.86928636,-0.4984656,0.778009,-0.46350655,15.0,81.0,65.0,6.5,32.5,70.0,15.5,56.0,24.0,28.5,33.5,66.0,196.10793,5586414.6142301615,-2404512.0247303224,1,forest
23,314.0,352.0,604.0,4945.0,1810.0,1312.8472,0.00107494,0.06629868,0.8805857,-0.49958572,0.81594896,-0.46410066,15.0,82.0,72.0,15.0,34.5,70.5,17.5,61.0,21.0,29.0,36.5,64.0,195.93536,5586335.433784082,-2404556.3349129977,1,forest
24,378.0,385.0,610.0,4358.0,1696.0,1459.9528,0.001321733,0.08691907,0.84037167,-0.47094533,0.7242421,-0.4397093,16.0,81.0,68.0,13.0,38.0,69.0,15.0,57.5,27.0,30.5,34.5,66.0,207.59526,5586428.4757997645,-2404567.180521626,1,forest
25,262.0,288.0,537.0,4808.0,1713.0,1288.6843,0.00060099363,0.05354132,0.8966469,-0.52266663,0.7992264,-0.4746205,12.0,84.0,4.0,12.0,45.0,60.0,16.0,63.0,18.5,51.0,35.5,70.0,116.475426,5586132.201022876,-2404576.9140337417,1,forest
26,358.0,422.0,668.0,5085.0,2017.0,1443.6165,0.0011340678,0.06992683,0.86845493,-0.50242084,0.840027,-0.43199098,18.0,72.0,17.0,25.0,33.0,69.0,19.0,51.0,30.0,32.0,40.0,43.0,250.1232,5586625.325701615,-2404465.2449548943,1,forest
27,292.0,328.0,559.0,4882.0,1766.0,1088.1252,0.000716418,0.056973547,0.88712794,-0.51913977,0.8095809,-0.46871245,14.0,83.0,65.0,9.5,32.0,71.0,12.5,54.0,41.0,31.0,35.0,69.0,191.91396,5586378.431878412,-2404539.165570651,1,forest
28,275.0,321.0,608.0,5181.0,1822.0,1153.7156,0.0005800724,0.043745887,0.8991936,-0.49958846,0.8503485,-0.47965157,13.0,84.0,70.0,10.5,44.5,62.0,16.0,62.5,42.0,41.0,34.0,70.0,122.20889,5586161.950208688,-2404579.6443472034,1,forest
29,454.0,490.0,814.0,5438.0,2082.0,1591.1378,0.0022730231,0.062240634,0.8458927,-0.43784532,0.86008143,-0.44627663,14.0,81.0,5.0,20.0,37.5,69.0,15.5,59.0,32.0,36.5,34.5,66.5,244.84178,5586541.077954577,-2404524.5520302793,1,forest
30,252.0,288.0,592.0,5894.0,2040.0,819.7181,0.00068962574,0.032241136,0.9179954,-0.550152,0.92516065,-0.4857575,13.0,84.0,74.0,9.0,53.0,69.0,21.0,65.0,38.0,44.5,40.5,65.0,102.55116,5586015.8356534215,-2404674.3488344788,1,forest
31,213.0,268.0,416.0,3924.0,1640.0,1475.6636,0.0029557347,0.08276458,0.8970269,-0.5953307,0.7032671,-0.41049603,15.0,72.0,13.0,15.0,43.5,61.0,20.0,58.0,20.0,28.0,33.0,55.5,143.63599,5586164.521710623,-2404686.149053184,1,forest
32,273.0,308.0,597.0,5202.0,1738.0,1134.4492,0.00063729286,0.047845095,0.900274,-0.488651,0.8480729,-0.49913546,15.0,83.0,57.0,12.0,32.5,70.0,15.5,58.0,35.0,42.0,35.0,64.0,154.0808,5586379.893378996,-2404386.1871066936,1,forest
33,241.0,269.0,533.0,4766.0,1582.0,738.8876,0.0008559227,0.03712136,0.90373474,-0.4959811,0.7969636,-0.50157535,13.0,85.0,10.0,10.0,48.0,51.0,16.0,63.5,18.5,51.0,41.0,52.0,95.79583,5586046.095899876,-2404579.7419084576,1,forest
34,262.0,301.0,617.0,5510.0,1917.0,879.1662,0.00055614114,0.03700835,0.90921694,-0.5130229,0.88502145,-0.48377544,11.0,84.0,72.0,7.0,48.5,63.0,20.5,66.5,45.0,50.5,41.5,62.0,93.547104,5585984.734763375,-2404658.686545876,1,forest
35,295.0,308.0,588.0,4880.0,1790.0,923.53076,0.00070002675,0.04573313,0.8859904,-0.5054668,0.7993375,-0.4632684,10.0,86.0,6.0,11.0,51.5,56.0,11.0,59.5,19.0,25.0,36.5,64.0,95.300705,5586070.576301285,-2404252.6861715885,1,forest
36,369.0,440.0,738.0,5116.0,1636.0,1964.165,0.0027945936,0.08793612,0.8654513,-0.37826455,0.84586596,-0.5154029,14.0,31.0,67.0,37.0,33.0,69.0,24.5,48.0,55.5,20.0,31.0,69.0,354.11987,5587506.381770052,-2404003.4330316195,1,forest
37,430.0,497.0,629.0,2834.0,1204.0,2213.2642,0.013711691,0.16434123,0.7365196,-0.3136934,0.5142686,-0.40366518,31.0,34.0,16.0,24.0,32.0,67.5,48.0,50.5,54.5,37.0,34.0,66.0,359.9946,5587689.5896351645,-2404022.425569099,1,forest
38,437.0,485.0,849.0,6134.0,1956.0,2133.1697,0.0013819337,0.080920726,0.8669914,-0.39465243,0.9420577,-0.51644003,11.0,38.0,64.0,43.0,33.0,68.0,16.0,50.0,53.5,32.0,33.0,69.5,341.30804,5587393.188791111,-2403999.7440068787,1,forest
39,305.0,334.0,516.0,3980.0,1551.0,1960.9839,0.00293234,0.10724847,0.85764295,-0.5007257,0.6905299,-0.4391611,6.0,51.0,34.0,17.0,34.0,68.5,27.5,49.0,54.0,27.5,33.0,74.0,356.08737,5587403.297963027,-2403884.4864588846,1,forest
40,290.0,340.0,588.0,4273.0,1413.0,1441.8688,0.0013573766,0.08226045,0.8728906,-0.41229385,0.7396197,-0.5029898,14.0,48.0,55.0,36.5,34.0,67.5,17.0,51.5,55.0,42.0,36.0,69.5,374.9705,5587639.142281539,-2403925.84441073,1,forest
41,386.0,429.0,718.0,5074.0,1668.0,1483.427,0.0025173128,0.06933503,0.858608,-0.3981559,0.8269536,-0.50519127,13.0,32.0,65.0,47.5,39.0,66.5,26.5,49.0,53.0,35.0,34.0,68.0,315.0552,5587275.902995105,-2404040.67619882,1,forest
42,460.0,491.0,716.0,3716.0,1359.0,2382.3772,0.0075051785,0.15833619,0.7796935,-0.30987954,0.63626057,-0.4644335,22.0,29.0,64.0,47.0,33.0,69.0,26.5,51.0,55.0,41.0,29.5,76.0,312.60104,5587273.905637475,-2404092.643910395,1,forest
43,535.0,585.0,986.0,6568.0,2199.0,3142.8096,0.0020175576,0.11887387,0.84935945,-0.38084772,0.9799877,-0.49834603,11.0,37.0,65.0,41.0,33.0,69.0,13.0,46.0,56.5,30.0,34.0,69.0,347.49832,5587437.140314059,-2403983.468475133,1,forest
44,379.0,424.0,720.0,5147.0,1877.0,1087.086,0.00084728,0.04728277,0.8628302,-0.44551408,0.83701986,-0.4655467,11.0,37.0,58.0,59.0,35.0,65.0,21.5,53.0,54.0,30.0,31.0,70.5,341.04755,5587364.317576999,-2403967.328747566,1,forest
45,256.0,294.0,561.0,4669.0,1447.0,966.8419,0.0013666749,0.046887025,0.8960407,-0.4412351,0.78803575,-0.52681494,12.0,47.0,67.0,24.5,35.0,69.0,20.0,49.0,55.0,17.0,28.5,72.5,379.13177,5587555.423438488,-2403916.551925337,1,forest
46,484.0,543.0,794.0,4950.0,1936.0,1262.3881,0.0021573901,0.06322788,0.8218624,-0.418315,0.81014407,-0.43769968,21.0,37.0,63.0,22.0,41.0,63.0,21.5,49.0,57.0,34.0,34.0,65.0,327.16522,5587319.463973061,-2403928.0248728497,1,forest
47,399.0,476.0,702.0,4889.0,1790.0,1193.8922,0.0017951727,0.057525992,0.84909225,-0.43659708,0.8185663,-0.46399158,11.0,34.0,65.0,37.0,41.5,66.0,14.5,50.0,48.0,38.0,41.0,68.0,311.1824,5587233.942205418,-2403948.4481969113,1,forest
48,347.0,403.0,565.0,3286.0,1225.0,2292.815,0.009266198,0.19966997,0.80897325,-0.36871508,0.59515613,-0.45688316,8.0,67.0,55.0,15.0,43.0,68.0,28.0,50.5,54.5,35.5,36.0,70.0,368.5252,5587610.011728468,-2403998.168001788,1,forest
49,454.0,456.0,739.0,4243.0,1777.0,1380.4606,0.002100408,0.07882213,0.80668515,-0.41255963,0.69923234,-0.40963453,5.0,53.0,54.0,14.5,33.0,69.0,15.0,54.5,54.0,47.0,36.0,66.5,358.27557,5587778.337316688,-2403959.260370005,1,forest
50,933.0,720.0,1186.0,4720.0,3395.0,1029.5323,0.00089782476,0.046238307,0.66990983,-0.4822091,0.634636,-0.16327786,17.0,77.0,5.0,42.0,48.0,48.0,21.0,60.5,17.0,29.0,38.5,24.0,5.8455863,5585409.569648068,-2403979.1798352194,3,grassland
51,933.0,720.0,1186.0,4720.0,3395.0,1029.5323,0.00089782476,0.046238307,0.66990983,-0.4822091,0.634636,-0.16327786,17.0,77.0,5.0,42.0,48.0,48.0,21.0,60.5,17.0,29.0,38.5,24.0,5.8455863,5585424.011244348,-2403981.486710202,3,grassland
52,854.0,698.0,1204.0,4824.0,3353.0,1196.278,0.0013156533,0.055516757,0.6991899,-0.4715822,0.6745735,-0.17989482,12.0,82.0,5.0,28.0,48.0,43.5,15.5,62.5,14.0,24.0,38.5,35.0,5.157923,5585449.706986861,-2403973.6927003963,3,grassland
53,817.0,679.0,1187.0,4797.0,3230.0,1211.4087,0.0010781884,0.055846326,0.70894194,-0.46253115,0.6812036,-0.19521612,10.0,85.0,6.0,17.0,47.0,43.0,13.0,69.5,17.5,24.0,38.0,39.5,4.970824,5585477.40620902,-2403970.4671151256,3,grassland
