,bs_pc_50,pv_pc_50,npv_pc_50,red,blue,green,nir08,swir16,emad,smad,bcmad,ndvi,mndwi,evi,ndbi,bs_jan_apr,pv_jan_apr,npv_jan_apr,bs_may_aug,pv_may_aug,npv_may_aug,bs_sep_dec,pv_sep_dec,npv_sep_dec,dem,class_id,lulc,geometry
355,24.0,68.0,31.0,898.0,793.0,1199.0,1904.0,1549.0,1840.084,0.014744699,0.15666607,0.3590292648108494,-0.12736535662299855,1.869193608324043,-0.10280915146249638,17.0,41.0,41.5,30.0,50.0,50.0,22.0,54.0,42.0,0.0,6,water,POINT (171.2595392020288 7.06034868382212)
356,25.0,33.0,61.0,352.0,990.0,888.0,273.0,278.0,704.55237,0.019047081,0.12220872,-0.1264,0.5231560891938251,0.039194284580273867,0.009074410163339383,46.0,29.5,46.0,53.0,30.0,62.5,63.0,32.5,62.0,0.2026597,5,baresoil,POINT (171.2467606617929 7.05685307417314)
357,16.0,15.0,82.0,1141.0,1067.0,1305.0,954.0,857.0,780.82385,0.010361046,0.10569402,-0.0892601431980907,0.2072155411655874,2.3200992555831266,-0.053561568194367755,38.0,23.0,48.0,23.0,21.0,61.0,33.5,26.0,47.0,0.05529421,5,baresoil,POINT (171.24703669125165 7.056966621078654)
361,11.0,76.0,11.0,783.0,622.0,1065.0,4140.0,2376.0,1060.9144,0.0023424625,0.054562993,0.6819012797074955,-0.38099389712292936,2.0106612362242453,-0.27071823204419887,29.5,54.0,38.5,21.0,61.5,7.0,10.0,75.0,13.5,11.252412,3,grassland,POINT (171.22903388758385 7.053503427765285)
362,7.0,76.0,15.0,978.0,911.0,1147.0,3767.0,1968.0,701.7729,0.0007637739,0.037293185,0.5877766069546891,-0.26356340288924557,2.4870697342607455,-0.3136878814298169,53.0,46.0,41.0,9.0,66.5,16.0,12.0,74.0,14.0,2.168336,3,grassland,POINT (171.22809619927557 7.053689970462687)
364,13.0,72.0,17.0,1021.0,818.0,1205.0,3831.0,2768.0,822.0315,0.0013042688,0.03944424,0.5791426215993405,-0.39340548703750317,1.8375621239863982,-0.1610850128807395,25.0,52.0,24.0,20.5,60.0,15.5,16.0,68.0,19.0,3.3595836,3,grassland,POINT (171.22974831677115 7.053505455403709)
366,11.0,67.0,27.0,1104.0,889.0,1213.0,4149.0,2848.0,950.35803,0.0023136437,0.046192363,0.5796687607081668,-0.40261019453336616,1.853768415925971,-0.18593683007003,42.0,50.0,32.0,22.0,56.5,34.0,11.5,66.0,30.5,6.704105,3,grassland,POINT (171.22955753170407 7.053306746795347)
367,11.0,67.0,27.0,1104.0,889.0,1213.0,4149.0,2848.0,950.35803,0.0023136437,0.046192363,0.5796687607081668,-0.40261019453336616,1.853768415925971,-0.18593683007003,42.0,50.0,32.0,22.0,56.5,34.0,11.5,66.0,30.5,6.704105,3,grassland,POINT (171.22949461322452 7.053229696495392)
369,2.0,82.0,15.0,561.0,479.0,882.0,4558.0,1764.0,826.1439,0.00071817636,0.041040212,0.7808165657354952,-0.3333333333333333,2.306405077899596,-0.44194875039544446,61.0,51.0,29.0,5.0,71.5,13.0,7.5,79.0,15.0,2.168336,3,grassland,POINT (171.2280941696472 7.053479096103488)
370,5.0,68.0,30.0,469.0,479.0,750.0,3470.0,1732.0,550.7258,0.0013798773,0.038052414,0.7618684945417619,-0.39564867042707497,2.7864438254410397,-0.33410226835832374,18.0,51.0,32.5,14.5,68.0,23.0,15.0,64.5,27.5,3.5847716,7,mangroves,POINT (171.080950171867 7.212783980979305)
371,21.0,66.0,28.0,1270.0,1078.0,1423.0,3204.0,1877.0,1058.1688,0.0039781034,0.06596976,0.4322753687974967,-0.13757575757575757,1.7645985401459854,-0.26116906120842354,26.5,42.0,49.0,20.5,60.0,27.0,47.0,56.5,34.5,2.3433669,7,mangroves,POINT (171.0810232384884 7.212948161780655)
372,12.0,87.0,11.0,428.0,433.0,689.0,3429.0,1365.0,550.14685,0.0006068349,0.035439953,0.7780658542908997,-0.3291139240506329,2.7276858752954007,-0.4305381727158949,35.0,53.0,28.0,36.0,83.0,13.0,56.0,78.5,16.5,4.216475,7,mangroves,POINT (171.07537681235493 7.217247244992477)
374,10.0,73.0,25.0,494.0,459.0,653.0,2855.0,1144.0,855.99335,0.0034139752,0.06722526,0.7049865631531801,-0.27323316638842515,2.4826498422712935,-0.4278569642410603,31.5,46.0,36.0,30.5,71.5,25.0,43.0,60.0,28.0,0.0,7,mangroves,POINT (171.07563051590157 7.217024285541507)
375,10.0,73.0,25.0,494.0,459.0,653.0,2855.0,1144.0,855.99335,0.0034139752,0.06722526,0.7049865631531801,-0.27323316638842515,2.4826498422712935,-0.4278569642410603,31.5,46.0,36.0,30.5,71.5,25.0,43.0,60.0,28.0,0.0,7,mangroves,POINT (171.07575229360393 7.216926994109837)
